County,pol1,Population Estimate 2017,pol2,pol3,pol4,pol5,pol6,pol7,pol8,pol9,pol9a,pol11,pol12,ppol11,ppol12,ppol13,ppol14,ppol15,ppol15a,ppol21,ppol22,ppol23,ppol24,ppol25,ppol25a,ppol31,ppol32,ppol33,ppol34,ppol35,ppol35a,ppol41,ppol42,ppol43,ppol44,ppol45,ppol45a
Monterey,Greenfield,"17,517",1,0,2016-23,,2,4/12/2016,4/12/2016,1,,0,,1,1,5/1/2001,5/1/2001,1,,,,,,,,,,,,,,,,,,,
Monterey,King City,"14,055",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Monterey,Marina,"22,145",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Monterey,Monterey,"28,639",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Monterey,Pacific Grove,"15,698",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Monterey,Salinas,"157,596",1,1,,,2,7/20/2017,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Monterey,Sand City,387,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Monterey,Seaside,"34,150",1,1,17-25,,2,3/29/2017,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Monterey,Soledad,"26,273",1,1,5278,,2,3/21/2017,3/21/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Napa,American Canyon,"20,247",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Napa,Calistoga,"5,273",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Napa,Napa,"79,774",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Napa,St. Helena,"6,196",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Napa,Yountville,"2,924",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Grass Valley,"12,987",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Nevada City,"3,136",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Nevada,Truckee,"16,553",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Aliso Viejo,"51,671",1,0,2018-10,,2,4/4/2018,4/4/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Anaheim,"352,497",1,1,2017-158,,2,10/24/2017,10/24/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Brea,"42,777",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Buena Park,"83,015",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Costa Mesa,"113,825",1,0,18-30,,2,5/1/2018,5/1/2018,1,,0,,1,0,5/18/2010,5/18/2010,1,,,,,,,,,,,,,,,,,,,
Orange,Cypress,"49,064",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Dana Point,"33,934",1,0,18-04-17-01,,2,4/17/2018,4/17/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Fountain Valley,"56,313",0,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Fullerton,"140,392",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Garden Grove,"174,226",1,1,9409-17,,2,1/24/2017,1/24/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Huntington Beach,"201,874",1,0,,,2,5/7/2017,,3,Amicus Brief ,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Irvine,"277,453",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Laguna Beach,"23,147",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Laguna Hills,"31,318",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Laguna Niguel,"66,334",1,0,2010-1014,,2,8/17/2010,8/17/2010,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Laguna Woods,"16,200",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,La Habra,"62,466",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Lake Forest,"84,293",1,0,2018-12,,2,4/17/2018,4/17/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,La Palma,"15,722",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Los Alamitos,"11,603",1,0,2019-03,,2,4/16/2018,5/16/2018,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Mission Viejo,"96,016",1,0,18-15,,2,3/27/2018,3/27/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Newport Beach,"86,160",1,0,2018-23,,2,4/10/2018,4/10/2018,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Orange,"140,560",1,0,11074,,2,4/10/2018,4/10/2018,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Placentia,"52,157",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Rancho Santa Margarita,"48,793",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,San Clemente,"65,267",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,San Juan Capistrano,"36,064",1,0,18-04-03-04,,2,4/3/2018,4/3/2018,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Santa Ana,"334,136",1,1,NS-2908,,2,1/17/2017,2/17/2017,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Seal Beach,"24,326",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Stanton,"38,528",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Tustin,"80,498",1,0,,,2,3/22/2017,,3,Opposition Letter,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Villa Park,"5,895",1,0,2018-611,,2,4/24/2018,5/24/2018,2,,0,1,1,0,4/24/2018,,,,,,,,,,,,,,,,,,,,,
Orange,Westminster,"91,564",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Orange,Yorba Linda,"68,229",0,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Placer,Auburn,"13,997",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Placer,Colfax,"2,005",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Placer,Lincoln,"47,674",1,0,,,,2/29/2017,2/29/2017,3,Opposition Letter,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Placer,Loomis,"6,809",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Placer,Rocklin,"64,838",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Placer,Roseville,"135,329",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Plumas,Portola,"1,930",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Banning,"31,230",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Beaumont,"46,967",1,0,,,2,5/1/2018,5/1/2018,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Blythe,"19,630",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Calimesa,"8,817",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Canyon Lake,"11,223",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Cathedral City,"54,596",1,1,2017-19,,2,5/24/2017,5/24/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Coachella,"45,443",1,1,2017-52,,2,8/23/2017,8/23/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Corona,"167,836",1,0,2019-029,,2,5/16/2018,5/16/2018,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Desert Hot Springs,"28,757",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Eastvale,"63,211",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Hemet,"85,160",1,0,18-035,,2,5/29/2018,5/29/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Indian Wells,"5,404",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Indio,"89,793",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Jurupa Valley,"106,028",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Lake Elsinore,"66,411",1,0,2018-065,,2,4/24/2018,4/24/2018,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,La Quinta,"41,304",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Menifee,"90,595",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Moreno Valley,"207,226",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Murrieta,"113,326",1,0,18-3967,,2,8/7/2018,8/7/2018,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Norco,"26,761",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Palm Desert,"52,932",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Palm Springs,"48,142",1,1,,,,5/16/2018,5/16/2018,3,Amicus Brief,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Perris,"77,879",0,,,119,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Rancho Mirage,"18,306",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Riverside,"327,728",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,San Jacinto,"48,254",1,0,3706,,2,5/1/2018,5/1/2018,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Temecula,"114,327",1,0,18-49,,2,6/26/2018,6/26/2018,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Riverside,Wildomar,"36,932",1,0,,,,4/11/2018,,3,Opposition Letter,,,0,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,Citrus Heights,"87,931",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,Elk Grove,"171,844",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,Folsom,"78,038",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,Galt,"26,172",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,Isleton,845,0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,Rancho Cordova,"73,563",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,Sacramento,"501,901",1,1,2017-0158,,2,5/4/2017,5/4/2017,1,,0,,1,1,12/17/1985,12/17/1985,1,,,,,,,,,,,,,,,,,,,
San Benito,Hollister,"38,404",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
San Benito,San Juan Bautista,"1,976",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Adelanto,"34,066",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Apple Valley,"73,077",1,0,2018-19,,2,5/22/2018,5/22/2018,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Barstow,"23,916",0,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Big Bear Lake,"5,262",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Chino,"89,797",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Chino Hills,"80,374",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Colton,"54,828",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Fontana,"211,815",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Grand Terrace,"12,595",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Hesperia,"94,859",0,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Highland,"55,342",1,0,,,,5/8/2018,,3,Opposition Letter,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Loma Linda,"24,196",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Montclair,"39,276",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Needles,"5,007",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Ontario,"175,841",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Rancho Cucamonga,"177,452",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Redlands,"71,554",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Rialto,"103,562",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,San Bernardino,"216,995",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Twentynine Palms,"26,542",1,0,,,,8/28/2018,,3,Opposition Letter,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Upland,"76,999",0,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Victorville,"122,441",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Yucaipa,"53,683",1,0,,,,4/23/2018,,3,Opposition Letter,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,Yucca Valley,"21,748",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,Carlsbad,"115,330",1,0,,,2,6/12/2018,6/12/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,Chula Vista,"270,471",1,1,2017-063,,2,4/25/2017,4/25/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,Coronado,"24,417",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,Del Mar,"4,363",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,El Cajon,"103,894",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,Encinitas,"63,184",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,Escondido,"151,969",1,0,2018-52,,2,4/4/2018,4/4/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,Imperial Beach,"27,418",0,,,,,,,,,,,1,1,8/17/2016,8/17/2016,3,Proclamation,,,,,,,,,,,,,,,,,,
San Diego,La Mesa,"60,021",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,Lemon Grove,"27,108",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,National City,"61,363",1,1,2017-16,,2,2/7/2017,2/7/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,Oceanside,"176,193",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,Poway,"50,041",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,San Diego,"1,419,516",0,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,San Marcos,"96,198",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,Santee,"58,113",0,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,Solana Beach,"13,444",1,1,2016-084,,2,7/13/2016,7/13/2016,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Diego,Vista,"101,568",1,0,,,2,6/26/2018,,3,Amicus,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,San Francisco,"884,363",1,1,96-16,,2,5/24/2016,6/24/2016,2,,1,,1,1,10/24/1989,11/24/1989,2,,,,,,,,,,,,,,,,,,,
San Joaquin,Escalon,"7,588",1,0,32-18,,2,5/21/2018,5/21/2018,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,Lathrop,"22,781",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,Lodi,"65,884",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,Manteca,"79,268",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,Ripon,"15,677",1,0,18-32,,2,4/10/2018,4/10/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,Stockton,"310,496",1,1,1503,,2,2/21/2017,2/21/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,Tracy,"90,889",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,Arroyo Grande,"18,123",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,Atascadero,"30,418",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,Paso Robles,"31,918",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,Grover Beach,"13,628",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,Morro Bay,"10,635",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,Pismo Beach,"8,237",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,San Luis Obispo,"47,541",1,1,10788,,2,4/4/2017,4/4/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Atherton,"7,238",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Belmont,"27,140",1,1,2017-027,,2,3/28/2017,3/28/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Brisbane,"4,721",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Burlingame,"30,686",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Colma,"1,514",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Daly City,"107,074",1,1,17-30,,2,2/27/2017,2/27/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,East Palo Alto,"29,765",1,1,4338,,2,10/2/2012,10/2/2012,1,,0,,1,1,7/6/2010,7/6/2010,1,,1,1,3/20/2007,3/20/2007,1,,,,,,,,,,,,,
San Mateo,Foster City,"34,412",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Half Moon Bay,"12,870",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Hillsborough,"11,486",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Menlo Park,"34,357",1,1,2.58,,2,6/20/2017,7/20/2017,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Millbrae,"22,718",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Pacifica,"39,087",1,1,826,,2,10/9/2017,10/9/2017,2,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Portola Valley,"4,611",0,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Redwood City,"86,685",1,1,15561,,2,2/13/2017,2/13/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,San Bruno,"43,299",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,San Carlos,"30,499",1,1,2017-026 ,,2,3/13/2017,3/13/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,San Mateo,"104,748",1,1,24(2017),,2,4/3/2017,4/3/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,South San Francisco,"67,429",1,1,17-232,,2,2/22/2017,2/22/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,Woodside,"5,564",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,Buellton,"5,135",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,Carpinteria,"13,622",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,Goleta,"31,116",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,Guadalupe,"7,370",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,Lompoc,"43,542",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,Santa Barbara,"92,101",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,Santa Maria,"107,014",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,Solvang,"5,909",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Campbell,"41,544",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Cupertino,"60,777",1,1,10-045,,2,5/2/2017,5/2/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Gilroy,"57,664",1,1,,,2,2/6/2017,,3,Proclamation,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Los Altos,"30,743",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Los Altos Hills,"8,580",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Los Gatos,"30,724",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Milpitas,"78,106",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Monte Sereno,"3,578",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Morgan Hill,"45,037",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Mountain View,"81,438",1,1,18170A,,2,10/24/2017,10/24/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Palo Alto,"67,178",1,1,9653,,2,12/12/2016,12/12/2016,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,San Jose,"1,035,317",1,1,73677,,2,3/6/2007,3/6/2007,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Santa Clara,"127,134",1,1,,,1,12/6/2016,,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Saratoga,"30,905",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,Sunnyvale,"153,656",0,,,, ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,Capitola,"10,180",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,Santa Cruz,"65,021",1,1,2017-06,,2,3/14/2017,4/14/2017,2,,0,0,1,1,1/10/2017,1/10/2017,1,,,,,,,,,,,,,,,,,,,
Santa Cruz,Scotts Valley,"11,945",0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,Watsonville,"54,098",1,1,1353-17,,2,5/9/2017,5/9/2017,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Shasta,Anderson,"10,370",1,0,17-10,,2,3/7/2017,3/7/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Shasta,Redding,"91,794",0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Shasta,Shasta Lake,"10,190",0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,
Sierra,Loyalton,706,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,Dorris,907,0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,Dunsmuir,"1,580",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,Etna,720,0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,Fort Jones,692,0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,Montague,"1,406",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,Mount Shasta,"3,302",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,Tulelake,994,0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,Weed,"2,716",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,Yreka,"7,600",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Solano,Benicia,"28,343",1,1,17-13,,2,2/7/2017,2/7/22017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Solano,Dixon,"20,202",1,0,18-111,,2,7/24/2018,7/24/2018,1,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Solano,Fairfield,"116,266",0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Solano,Rio Vista,"9,009",0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Solano,Suisun City,"29,639",0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Solano,Vacaville,"100,032",0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Solano,Vallejo,"122,105",1,1,,,2,5/23/2017,5/23/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,Cloverdale,"8,803",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,Cotati,"7,479",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,Healdsburg,"11,840",1,1,15-2017,,2,2/21/2017,2/21/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,Petaluma,"60,870",1,1,2017-032,,2,2/27/2017,2/27/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,Rohnert Park,"42,838",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,Santa Rosa,"175,269",1,1,2010-017,,2,2/7/2017,2/7/2017,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,Sebastopol,"7,666",1,1,6127,,2,2/21/2017,2/21/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
