County,pol1,Population Estimate 2017,pol2,pol3,pol4,pol5,pol6,pol7,pol8,pol9,pol9a,pol11,pol12,ppol11,ppol12,ppol13,ppol14,ppol15,ppol15a,ppol21,ppol22,ppol23,ppol24,ppol25,ppol25a,ppol31,ppol32,ppol33,ppol34,ppol35,ppol35a,ppol41,ppol42,ppol43,ppol44,ppol45,ppol45a
Fresno,Clovis,"109,691",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,Coalinga,"16,766",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,Firebaugh,"8,328",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,Fowler,"6,495",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,Fresno,"527,438",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,Huron,"7,311",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,Kerman,"14,932",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,Kingsburg,"12,002",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,Mendota,"11,438",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,Orange Cove,"9,604",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,Parlier,"15,250",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,Reedley,"25,620",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,Sanger,"25,161",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,San Joaquin,"4,043",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Fresno,Selma,"24,782",1,0,,,2,8/7/2017,8/7/2017,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Glenn,Orland,"7,656",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Glenn,Willows,"6,041",1,0,2018-xx,,2,5/22/2018,5/22/2018,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,Arcata,"18,000",1,1,1490,,2,6/7/2017,7/7/2017,2,,0,,1,1,4/5/2017,4/5/2017,1,,,,,,,,,,,,,,,,,,,
Humboldt,Blue Lake,"1,265",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,Eureka,"27,177",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,Ferndale,"1,373",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,Fortuna,"12,191",0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,Rio Dell,"3,408",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,Trinidad,360,0,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,
Imperial ,Brawley,"26,390",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Imperial ,Calexico,"40,351",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Imperial ,Calipatria,"7,558",0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
Imperial ,El Centro,"44,364",0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
