,GEO.display-label,2010,2011,2012,2013,2014,2015,2016,2017
74,"Ballard CDP, California",1.2,1.4,2.3,2.8,8.7,7,7.2,6.2
75,"Ballico CDP, California",6.5,12,16.7,23.2,18,26.7,33.6,30.3
76,"Bangor CDP, California",13.8,13.2,11.5,9,8,8.7,10.3,9
77,"Banning city, California",14.6,17.4,19.4,18,21.2,21.2,23.2,23.4
78,"Barstow city, California",21.4,22.2,24.3,26.2,30.2,33.7,36.7,36.4
79,"Bass Lake CDP, California",5.6,5.9,16,19.7,27.9,27.6,1.4,1.4
80,"Bay Point CDP, California",21.7,27.3,26.7,29.1,28.3,25.1,22.2,21.8
81,"Bayview CDP (Contra Costa County), California",7.4,10,8.4,6.2,8.4,4.2,1.9,1.5
82,"Bayview CDP (Humboldt County), California",16.7,26.2,24,28.9,32.1,28.3,17.8,24.3
83,"Beale AFB CDP, California",6.3,9.4,7.3,10.4,12.1,12.5,12.9,9.9
84,"Bear Creek CDP, California",59.3,45.7,65.2,81.2,56.9,49.1,24.1,3.2
85,"Bear Valley CDP (Alpine County), California",34.3,42.3,41.6,29.2,11.6,20,7.7,0
86,"Bear Valley CDP (Mariposa County), California",37.1,44.7,31.4,40.1,38.8,22.6,0,0
87,"Bear Valley Springs CDP, California",7.1,6.2,10.8,5,5.4,4.6,5.6,9.4
88,"Beaumont city, California",11,10.8,11.2,11.8,11.3,11.8,11.3,11.8
89,"Beckwourth CDP, California",6,8.3,2,0,4.8,5.5,0,0
90,"Belden CDP, California",61.5,100,100,100,100,-,-,-
91,"Bell city, California",22.6,25.4,28.5,30.2,29.3,27.7,25.3,24.7
92,"Bella Vista CDP, California",3,4.2,5,7.9,13.9,14.2,17.1,17.1
93,"Bell Canyon CDP, California",2.7,2.7,1.5,2.8,2.1,3.9,3.4,6.7
94,"Bellflower city, California",13.1,13.4,15.9,17.1,18.1,17.9,17,14.8
95,"Bell Gardens city, California",22.7,25,26.9,27.6,28.9,28.1,29.4,29.7
96,"Belmont city, California",3.6,4.9,5.3,5.5,5.8,6.2,4.7,4.5
97,"Belvedere city, California",1.4,3.2,3.6,3.3,3.7,3.5,2.3,2.2
98,"Benbow CDP, California",0,0,0,0,0,0,3.8,4.6
99,"Bend CDP, California",8.4,9.4,9.5,9.3,11.2,7.9,20.3,20.6
100,"Benicia city, California",5.2,5.6,5.5,5.7,5.5,5.4,7.1,7.2
101,"Ben Lomond CDP, California",9.2,7.2,7.7,8.1,9.9,10.8,10.9,11.7
102,"Benton CDP, California",19.4,56.6,22.7,23.8,18.5,19.7,12.7,6.9
103,"Berkeley city, California",18.9,18.3,18.1,18.7,20,20.4,19.9,19.8
104,"Bermuda Dunes CDP, California",5.7,7,8.5,9.4,10,10,11.8,12.7
105,"Berry Creek CDP, California",12.8,14.4,17,16.7,12.5,14.7,18,19
106,"Bertsch-Oceanview CDP, California",21.2,19,19,21.9,22.5,19.9,35.1,35.4
107,"Bethel Island CDP, California",17,16.5,9.7,9.9,6.2,6.2,9.1,11
108,"Beverly Hills city, California",7.9,6.9,7.8,8.8,9.9,8.9,10.2,9.3
109,"Bieber CDP, California",3.5,2.9,0.7,3.7,7.1,7.5,8.7,7.1
110,"Big Bear City CDP, California",17.6,19,20.9,20.1,21.3,19.7,17.7,16.8
111,"Big Bear Lake city, California",21.1,23.4,16.9,19.4,15.8,18.8,18.5,16
112,"Big Bend CDP, California",46.2,51.6,42.3,25.8,13.8,14.9,17.6,26.2
113,"Big Creek CDP, California",3.7,5.3,5.5,1.6,2.5,1.6,1.4,0
114,"Biggs city, California",13.6,22.7,23.1,25.2,23.1,27.8,24.8,21.5
115,"Big Lagoon CDP, California",14.8,27.4,26.3,30.1,26.1,21.7,11.5,14.2
116,"Big Pine CDP, California",7.4,6.9,8.7,13.2,12.8,10.6,10.1,9
117,"Big River CDP, California",13.1,14.8,11.8,17.3,18.3,19.7,20.3,22.3
118,"Biola CDP, California",28.2,38.6,51.3,39.1,38.8,36.1,27.9,31
119,"Bishop city, California",13,13.2,12.4,16.8,19.9,13,13.5,13.3
