,GEO.display-label,2010,2011,2012,2013,2014,2015,2016,2017
323,"Cudahy city, California",24.3,28,29.9,31.8,32.8,31.3,30.4,30.2
324,"Culver City city, California",7.2,7.3,7.1,7.1,8.7,8.9,7.6,7.4
325,"Cupertino city, California",4.6,4.1,4.2,4.3,4.1,3.7,4.5,4.7
326,"Cutler CDP, California",45.8,43.8,42.4,52.6,63.6,53,52,47.5
327,"Cutten CDP, California",13.4,11.5,12.9,16.8,13.7,11.8,14.6,14.1
328,"Cuyama CDP, California",82.4,43.2,45.5,47.3,55.6,62.6,86.3,18.8
329,"Cypress city, California",6.3,6.7,6.7,6.7,6.8,7.3,6.4,5.8
330,"Daly City city, California",7,7.5,7.8,8.6,9.5,9.7,8.9,8.9
331,"Dana Point city, California",5.5,7.5,8.4,8.3,9.1,9.2,7.9,7.6
332,"Danville town, California",3.6,4.3,4.3,4.6,4.2,4.1,2.8,3.3
333,"Daphnedale Park CDP, California",38.8,60,0,0,0,0,0,0
334,"Darwin CDP, California",10,0,0,0,0,0,0,0
335,"Davenport CDP, California",2.9,4.8,8.9,8.5,8.3,6.1,7.8,5.9
336,"Davis city, California",23.5,26.2,26.4,26.3,27.1,28.8,28.8,29.1
337,"Day Valley CDP, California",7.6,9.4,13.2,18.4,16.6,16.9,17.9,7.6
338,"Deer Park CDP, California",1.6,2.3,2.7,3.7,13.3,13.6,16.9,18.7
339,"Del Aire CDP, California",4.6,4.2,7.4,9.1,10.2,13.2,16.2,12.5
340,"Delano city, California",27.7,28.3,31.3,29.9,30.2,30.3,29.2,24.4
341,"Delft Colony CDP, California",22.7,22.6,42.3,57.8,100,100,100,9.2
342,"Delhi CDP, California",17,16.6,17.5,14.4,18,17.3,19.5,21.1
343,"Delleker CDP, California",13.6,11.5,8,8.7,10.3,1.9,2.2,0
344,"Del Mar city, California",3.7,5.4,5,1.6,3.5,3.5,8.2,6.9
345,"Del Monte Forest CDP, California",7.3,7.9,6.1,9.9,8.1,9.8,10.3,9.2
346,"Del Rey CDP, California",40.3,32.6,29,36,38.9,52.7,49.5,49.4
347,"Del Rey Oaks city, California",4,4.6,6.6,6,6.2,7.1,7.2,6
348,"Del Rio CDP, California",2.6,2.6,1.7,1.7,0,0,0,0
349,"Denair CDP, California",12.4,17.2,16.9,22.1,21.8,31.3,25.5,16.6
350,"Derby Acres CDP, California",3.5,12.2,10.1,10.7,17.5,27.5,22.2,25.1
351,"Descanso CDP, California",5.3,3.6,7.8,10.2,11.1,10.6,11.9,10.9
352,"Desert Center CDP, California",2.7,0.7,28.4,28.8,33.2,31.5,33.9,10
353,"Desert Edge CDP, California",14.9,11.5,23.1,22.4,24.2,25.3,28.1,25.8
354,"Desert Hot Springs city, California",24.9,25.6,28.6,32,33.1,34.9,33.9,36.8
355,"Desert Palms CDP, California",2.4,3,3.8,5.9,8.6,8.3,8,8
356,"Desert Shores CDP, California",8.7,49.6,22.4,32.5,32.7,28.5,31.5,36.5
357,"Desert View Highlands CDP, California",18.3,19.8,22.1,16,10.8,13.3,11.4,11.9
358,"Diablo CDP, California",0,0,0,0,0,0,0,0
359,"Diablo Grande CDP, California",5.1,3.3,3.3,3.1,7.8,2,2.7,1
360,"Diamond Bar city, California",4.6,5.3,5.2,5.9,6.4,7,5.9,6.2
361,"Diamond Springs CDP, California",9.1,11.3,10.4,11.6,14.6,16.3,13.2,13.3
362,"Dillon Beach CDP, California",0,0,0,0,0,0,0,0
363,"Dinuba city, California",26.4,27.6,30.1,28.6,28.3,28.6,26.7,26.8
364,"Discovery Bay CDP, California",2.9,6.6,6.3,5,4.6,5.9,5.9,7.3
365,"Dixon city, California",8.6,8.3,8.8,11,13.7,13.9,14,13.8
366,"Dixon Lane-Meadow Creek CDP, California",8.6,8.1,8.5,7.9,9.3,7.6,6.5,5.5
367,"Dobbins CDP, California",30.2,6.8,11.6,5.8,23.9,23.9,24.8,27
368,"Dogtown CDP, California",12.3,12.1,12.8,11.7,10.3,7.5,7.5,8.7
369,"Dollar Point CDP, California",10.3,7.3,5.9,16,16.4,14.1,17.3,21.4
370,"Dorrington CDP, California",18.8,0.6,1.8,2,2.3,2.8,7.8,10.1
371,"Dorris city, California",23.8,18.8,19.1,19.8,25.8,32.3,31.4,32.7
372,"Dos Palos city, California",18,23,28.1,33.6,37.5,37.4,28.9,27
373,"Dos Palos Y CDP, California",0,0,3.7,27.2,35.1,35.3,32,25.8
374,"Douglas City CDP, California",18.5,17.3,25.7,33,32.8,40.8,37.4,24.9
375,"Downey city, California",10,11.3,12.1,11.8,12,11.4,11,10.7
376,"Downieville CDP, California",23.5,32.3,13.9,15.4,0,0,0,0
377,"Doyle CDP, California",21.8,23.7,22.2,18.7,26.7,23.2,27.4,24.6
378,"Drytown CDP, California",0,0,0,0,0,4.1,9.1,6.5
379,"Duarte city, California",10.4,7.2,11,13.4,15.5,15.5,14.9,12.4
380,"Dublin city, California",3.9,3.5,4.1,3.8,3.7,4,4.3,3.6
381,"Ducor CDP, California",27,21.4,36.4,41.4,47.3,43.7,47.1,44.3
382,"Dunnigan CDP, California",1.4,8.1,13.8,15.2,21.4,27.1,20.2,13.2
383,"Dunsmuir city, California",22.5,22.9,23,18.5,25.2,24.5,22,17.2
384,"Durham CDP, California",5.8,15.1,12.3,9.9,11.1,17.2,10.5,10.3
385,"Dustin Acres CDP, California",2,2.5,3.6,12.3,14.9,10.3,23.1,16
386,"Dutch Flat CDP, California",9.1,14,10.3,0,0,0,4.7,5.5
387,"Eagleville CDP, California",0,0,0,32,21.4,35.1,29.5,27
388,"Earlimart CDP, California",44.9,42.5,45.4,45.6,48.6,53.1,53.9,49.5
389,"East Foothills CDP, California",7.3,9,7.3,6.4,7.2,6.6,3.5,4.4
390,"East Hemet CDP, California",14.8,18.6,19.5,18,21.2,19.5,18,17.6
391,"East Los Angeles CDP, California",24.1,25.3,26.8,26.9,27.1,27.2,24.2,22.4
392,"East Nicolaus CDP, California",19.5,16.6,0,0.7,0.8,14.6,20.8,22.9
393,"East Oakdale CDP, California",1.8,0.7,1.1,1.8,3.4,3.7,2.6,2.5
394,"Easton CDP, California",14.9,18.2,18.8,15.3,13.8,12.6,14.3,13.5
395,"East Orosi CDP, California",70,47.2,65.2,64.3,64,61.4,71.6,48.3
396,"East Palo Alto city, California",16.6,16.8,18,18.4,16.6,18.5,16.6,13.7
397,"East Pasadena CDP, California",6.3,8.1,8.4,16,11.7,12.2,11,10
398,"East Porterville CDP, California",40.4,39.9,35.8,35.9,36.9,36.2,40.4,44.8
399,"East Quincy CDP, California",14.9,16.2,21.7,26.3,25.8,21.2,17.2,16.1
400,"East Rancho Dominguez CDP, California",17.4,16.1,18.4,20,21.3,23.8,24.7,21.6
401,"East Richmond Heights CDP, California",2.6,7.1,7,13.5,11.4,10.6,6.4,6.4
402,"East San Gabriel CDP, California",6.9,6.9,7.9,7.8,7.5,11.1,10.6,10.4
403,"East Shore CDP, California",4.4,4.5,8.6,5.1,5.4,0,0,0
404,"East Sonora CDP, California",8.2,16.9,14,15.9,13.2,11.6,6.6,5.2
405,"East Tulare Villa CDP, California",4.1,9.1,14.7,15.9,25.4,23.9,19.4,12.1
406,"Edgewood CDP, California",0,0,0,0,0,0,0,0
407,"Edmundson Acres CDP, California",16.2,12.1,16.2,18.1,46,42,46.5,41.5
408,"Edna CDP, California",0,0,0,0,0,0,21.9,21.5
409,"Edwards AFB CDP, California",4.1,2.9,1,2.9,9.4,10,9.6,9.5
410,"El Cajon city, California",21.3,23.3,24.8,26.4,25.8,24.2,24.1,23
411,"El Centro city, California",20.9,25.1,24.8,24.9,24,25.2,24.8,24.9
412,"El Cerrito city, California",7.7,7.5,7.5,8.5,8.2,9,9.1,8.9
413,"El Cerrito CDP, California",7,7,7.8,8.7,6.1,6.6,7.8,8
414,"El Dorado Hills CDP, California",2.8,2.7,3.1,3.8,5.1,4.7,4.1,4.2
415,"Eldridge CDP, California",23.4,8.5,27,18.3,20.2,25.5,17.1,9.4
416,"El Granada CDP, California",2.6,1.7,4.9,5.1,4.9,3.9,4.4,2.4
417,"Elizabeth Lake CDP, California",0.7,1.2,2.6,6,7.2,7.2,9.7,12.5
418,"Elk Creek CDP, California",1.7,6.7,12.5,9,11,9.9,10.6,6.4
419,"Elk Grove city, California",8,8.8,9.3,9.5,10.3,10.4,9.7,9
420,"Elkhorn CDP, California",19.2,27.7,23.2,18.5,12.2,16.2,1.9,2
421,"Elmira CDP, California",0,8,10.4,11.5,8.7,6.4,9.1,13
422,"El Monte city, California",20.7,22,22.8,24.3,24,24.9,23.8,22.6
423,"El Nido CDP, California",18.4,16.8,22.4,21.5,24.3,21,21.5,18.5
424,"El Paso de Robles (Paso Robles) city, California",10,10.2,12.2,12.1,13.3,13.8,13.7,12.1
425,"El Portal CDP, California",0,35.8,32.5,20.3,20.3,26.1,0,0
426,"El Rancho CDP, California",100,100,-,47.1,43.8,8.2,11.8,6.8
427,"El Rio CDP, California",20.8,22.1,14.3,17,20.9,19.2,17.6,19.8
428,"El Segundo city, California",3.3,3.5,4.2,4.8,8.3,7.3,8.2,8.7
429,"El Sobrante CDP (Contra Costa County), California",8.1,9.8,10.4,10.2,12.4,12.6,11,10.2
430,"El Sobrante CDP (Riverside County), California",3.9,9.2,8.5,6.8,7.4,8,3.7,4.4
431,"El Verano CDP, California",13.3,16.8,20.5,15.5,12.7,6.1,6.7,1.1
432,"Elverta CDP, California",5.2,6.7,6.5,9.4,10.2,7.6,10.7,10.8
433,"Emerald Lake Hills CDP, California",2.5,4.4,4,3.6,2,2.7,2.7,3
434,"Emeryville city, California",15,14,9.8,9.7,12.1,11.9,12.1,11.7
435,"Empire CDP, California",21.1,27.4,34.3,36.7,36.5,41.8,42,39.4
436,"Encinitas city, California",8,8.7,9,9.3,8.7,8.1,7.4,7.6
437,"Escalon city, California",9,9.7,12.5,13.2,13.5,15,11.8,10.9
438,"Escondido city, California",15.6,16.5,18.3,18.7,19.8,18.7,17.7,16.3
439,"Esparto CDP, California",13.5,12,12.5,13.5,11.9,10.4,11.1,10.2
440,"Etna city, California",19.8,28.3,31.9,32.7,36.1,24.4,20.7,20
441,"Eucalyptus Hills CDP, California",3.6,3.4,5.6,4.8,4.7,2.7,4.2,3.7
442,"Eureka city, California",21.1,20.6,22.1,23.8,23.5,24.5,23.4,22.8
443,"Exeter city, California",17.2,22.3,26.8,29.9,28.1,29.1,25.3,23.2
444,"Fairbanks Ranch CDP, California",2,0,0,3,3.8,3.9,6.9,7
445,"Fairfax town, California",7,8.6,8.4,7.8,8.6,6.8,6.4,5.9
446,"Fairfield city, California",11,11.6,12.9,13.6,12.7,13.2,12.1,10.6
447,"Fairmead CDP, California",35.4,40.6,35.5,38.4,38.8,47.3,33.6,29.1
448,"Fair Oaks CDP, California",7.8,6,8.8,11.1,11.7,11.9,11.8,10.8
449,"Fairview CDP, California",6.1,6.5,6.3,7.2,9.7,7.6,7.8,9.3
450,"Fallbrook CDP, California",10.5,10.2,14.6,15.6,18.3,19,18.3,15.3
451,"Fall River Mills CDP, California",7.1,18,23.4,29.9,18.1,20.1,6.2,5.3
452,"Farmersville city, California",31.2,33.5,34.2,32.9,32.4,31.2,29.4,25.6
453,"Farmington CDP, California",0,0,0,0,0,0,0,0
454,"Fellows CDP, California",1.9,1.7,0,0,2,2.5,3.9,3.5
455,"Felton CDP, California",5.2,4.1,2.2,2.2,2.2,2.6,2.9,3.3
456,"Ferndale city, California",7.3,7.5,7.3,6.4,6.7,9.5,9.1,12.5
457,"Fetters Hot Springs-Agua Caliente CDP, California",16.8,12.9,14.4,18.3,23.7,28,28.2,20.2
458,"Fiddletown CDP, California",0,0,0,19.6,20.9,15.7,10,4.1
459,"Fieldbrook CDP, California",10.8,10.7,10.1,9.7,8.7,23.2,23.1,22.3
460,"Fields Landing CDP, California",6.6,8.2,80.8,70.4,35.4,26.6,38.8,0
461,"Fillmore city, California",11.4,16.2,14.3,20.7,24.7,24.2,19.2,18.9
462,"Firebaugh city, California",33.5,27.6,34.9,35.2,38.9,33.5,36.8,30
463,"Fish Camp CDP, California",-,0,0,0,0,0,0,0
464,"Florence-Graham CDP, California",28.7,27.9,29.1,30.7,33.4,32.8,31.5,30.2
465,"Florin CDP, California",18.1,22.3,25.7,25.6,26.2,26.5,27.2,24.7
466,"Floriston CDP, California",0,0,0,0,0,0,0,0
467,"Flournoy CDP, California",0,0,23.8,29.6,41.3,40.3,44.7,28.5
468,"Folsom city, California",3.7,3.9,4.4,4.6,4.4,4.7,4.7,5
469,"Fontana city, California",12.5,14,15,15.5,16,16.1,15.1,14.3
470,"Foothill Farms CDP, California",20.4,19.1,22,24,24.6,24.3,24.6,21.9
471,"Forbestown CDP, California",18.6,25.1,24.1,12.6,0,0,0,0
472,"Ford City CDP, California",32.1,31.9,36.5,32.2,40.3,40.9,46.9,41.4
473,"Foresthill CDP, California",23,23.4,22,21.9,30.7,31.9,26.4,14.2
474,"Forest Meadows CDP, California",1.7,1.3,0,1.8,2.1,2.6,4.6,5.2
475,"Forest Ranch CDP, California",11.3,9.1,10.1,11.8,13.4,10.8,13.6,18.1
476,"Forestville CDP, California",8.1,10.7,13.1,11.5,12.1,14.7,11.8,10.5
477,"Fort Bidwell CDP, California",30,21.9,13.6,21.4,22.4,37.1,41.3,38.2
478,"Fort Bragg city, California",26.1,21,19.9,23.5,22.8,22.3,22,19
479,"Fort Irwin CDP, California",10.1,8.8,12.6,9.4,10.6,10.4,10.4,6
480,"Fort Jones city, California",17.7,19.9,21.8,25.6,18.6,35.1,39.3,33.9
481,"Fortuna city, California",19.1,18.1,20.2,20.3,19.4,16.8,16.3,17.6
482,"Fort Washington CDP, California",0,0,0,0,0,0,0,0
483,"Foster City city, California",4.4,4.2,4.6,4.6,3.9,4.2,4.3,3.6
484,"Fountain Valley city, California",6.2,6.1,6.7,8,7.1,8.1,8.5,8.7
485,"Fowler city, California",20.1,20.9,21.3,23.2,24.6,25.3,23.9,21.6
486,"Franklin CDP (Merced County), California",17.3,20.2,26.6,30.2,30.5,34.2,26,23.7
487,"Franklin CDP (Sacramento County), California",-,-,0,0,0,16.5,14.2,17.2
488,"Frazier Park CDP, California",8.4,8,4.5,11.9,12,20.8,26,29.8
489,"Freedom CDP, California",14,28,27.1,29.5,30.4,34.3,25.6,22.8
490,"Freeport CDP, California",0,0,0,0,0,0,0,0
491,"Fremont city, California",5.2,5.4,5.8,6,6.3,6.1,5.3,4.9
492,"French Camp CDP, California",33.5,29.8,30.3,36.5,36.8,30.2,28,25.8
493,"French Gulch CDP, California",8.1,23.9,33.9,30.8,29.2,26.4,18.7,11.6
494,"French Valley CDP, California",4,4.6,3.2,4.1,4.3,4.8,6.5,7.7
495,"Fresno city, California",24.9,25.9,27.5,28.9,30.6,29.8,30,28.4
496,"Friant CDP, California",6.1,7.3,7.4,10.1,13.7,14.3,22.2,15.4
497,"Fruitdale CDP, California",12.4,17.7,25,20.1,19.7,6.6,6.4,4.3
498,"Fruitridge Pocket CDP, California",37.6,43.5,46.1,46.2,46.2,47.7,38.8,34.9
499,"Fuller Acres CDP, California",31,38,23.6,28.9,36.5,29.8,36.3,32.7
500,"Fullerton city, California",11.3,13.2,14.6,16,17.3,16.8,15.3,14.9
501,"Fulton CDP, California",32.9,41.7,42.7,49.3,16,40.8,32.9,38.5
502,"Furnace Creek CDP, California",18.8,14.8,2.9,2.2,10.7,6.4,9,11.5
503,"Galt city, California",12.2,16.6,18.1,19.5,20.8,19.4,17.7,15.3
504,"Garberville CDP, California",15.1,19,17.7,17.5,14.4,16.6,26.3,25.6
505,"Gardena city, California",15.9,15.5,14.3,15.5,15.6,15,15,15.6
506,"Garden Acres CDP, California",26.6,22.1,21.4,22.5,27.3,22.6,25,23.8
507,"Garden Farms CDP, California",0,16.7,26.8,27.6,20.2,34.3,11.2,0
508,"Garden Grove city, California",12.9,14.3,15.5,16.6,16.9,17.6,16.2,15.8
509,"Garey CDP, California",0,0,0,0,0,11.2,10.8,10.2
510,"Garnet CDP, California",17.3,16,12.3,15.4,19.6,22.8,27.8,29
511,"Gasquet CDP, California",1.9,17.6,24.5,38.5,35,30.9,25.2,17.1
512,"Gazelle CDP, California",28.8,9.2,10.9,15.9,28.9,30.4,32,16.7
513,"Georgetown CDP, California",7.1,11.5,10,9.6,16.2,13.5,8.7,6
514,"Gerber CDP, California",37.8,25.1,29,26.5,37.8,25.9,45.1,42
515,"Geyserville CDP, California",13.1,15.9,16.6,16.8,17.5,15,11,16.7
516,"Gilroy city, California",8.7,11,13.1,15.5,16.1,15.1,13,11.9
517,"Glendale city, California",13,13.4,12.9,14.2,14.7,14.6,14.7,15.6
518,"Glendora city, California",6.5,6.7,7.9,7.8,9.2,9.4,9.4,9.1
519,"Glen Ellen CDP, California",6.1,14.3,16.6,15.5,5.7,7.9,3,0
520,"Golden Hills CDP, California",20.6,17.8,16,16.8,12.5,10.5,13,12.8
521,"Gold Mountain CDP, California",-,-,0,0,0,0,0,-
522,"Gold River CDP, California",4,3.7,3.1,2.3,4.1,4.5,4.5,4.1
523,"Goleta city, California",9.1,7.8,7.4,6.9,8.1,8.6,8.4,8.4
524,"Gonzales city, California",15.8,15.2,16.3,23.9,26.3,23,23.4,20.4
525,"Good Hope CDP, California",30.1,29.7,33.3,40.6,39.8,38.1,32.3,31.8
526,"Goodyears Bar CDP, California",0,0,13,100,47.8,44,18,0
527,"Goshen CDP, California",32.2,35.8,27.5,19.9,24.5,29.6,31.7,37.9
528,"Graeagle CDP, California",3.2,0,0,2.6,2.4,2.2,2,3.2
529,"Grand Terrace city, California",3.9,5.8,6.5,8.8,9.1,9.9,9,11.7
530,"Grangeville CDP, California",9.2,14.4,12.4,11.1,16.6,8,22.2,21
531,"Granite Bay CDP, California",3.6,4.3,4.4,3.6,3.8,3.2,3.5,3.8
532,"Granite Hills CDP, California",7.6,13.5,9.9,8.3,7.4,5.4,5,11.3
533,"Graniteville CDP, California",-,-,-,-,-,-,-,-
534,"Grass Valley city, California",16.3,20.6,21.9,24.6,28.3,28.4,25.5,26.3
535,"Graton CDP, California",17.6,10.3,10.2,15.3,16.9,8,8.5,8.4
536,"Grayson CDP, California",6.6,11.4,12.2,14,17.8,20.6,19.5,14.6
537,"Greeley Hill CDP, California",31.1,32.7,23.4,38.6,30.6,21.1,17.3,17.7
538,"Greenacres CDP, California",3.1,2.9,4.6,5.8,8.7,10.5,11,11.5
539,"Green Acres CDP, California",21.6,23.5,19.5,24.5,30.4,40.5,44.1,38.6
540,"Greenfield CDP, California",10.7,9.1,8.5,6.2,3.7,12,14.1,18.1
541,"Greenfield city, California",19,19.5,22.2,24.5,26.9,25.1,25.5,18.2
542,"Greenhorn CDP, California",7.4,4.4,9.6,8.1,4.9,12.2,7.5,3.2
543,"Green Valley CDP (Los Angeles County), California",3,3.4,5.8,7.6,8.3,8,11.1,6.2
544,"Green Valley CDP (Solano County), California",0,0,0,0.9,0.9,1,1.1,1.2
545,"Greenview CDP, California",16.5,22.3,33.2,56.7,62.8,60.2,38.7,32.6
546,"Greenville CDP, California",19.4,17.6,16,20.7,12.8,17.6,19.4,18.3
547,"Grenada CDP, California",23.8,26.1,25.3,28.1,27.5,21.7,19.8,24.2
548,"Gridley city, California",17.8,21.4,21.1,17.1,21.3,21.6,22.7,22.4
549,"Grimes CDP, California",26.8,22.8,42.7,36.7,28.9,24.8,24.6,19.2
550,"Grizzly Flats CDP, California",9.1,5.6,5.8,5.7,4.9,4.9,18.7,13.6
551,"Groveland CDP, California",15.8,15,23.1,30.6,33.2,30.6,37.7,38.3
552,"Grover Beach city, California",13.1,14.3,13.7,12.4,13.3,13.8,11,13.8
553,"Guadalupe city, California",14.8,16.4,16.6,19.7,20.5,18.9,18.8,16.1
554,"Guerneville CDP, California",14.6,16.6,18.8,24.5,21.5,18.2,19.2,19.7
555,"Guinda CDP, California",14.6,0,0,0,0,13.2,40.4,44
556,"Gustine city, California",18.4,16.5,19.4,22,16.8,15.6,14.7,16.7
557,"Hacienda Heights CDP, California",7.7,6.8,7.1,8.1,8.6,7.9,8.8,8.5
558,"Half Moon Bay city, California",6.5,6.8,7.6,7.4,3.6,3.7,4,4.6
559,"Hamilton Branch CDP, California",6.2,5.4,10,11.1,11.2,10.1,9.8,17.4
560,"Hamilton City CDP, California",27.5,30.7,27.8,23,20.7,22,21.1,18.5
561,"Hanford city, California",16.5,15.5,18.3,19.5,22.4,20.5,19.7,18.7
562,"Happy Camp CDP, California",25,28.1,31.4,32.3,32.5,31,32.4,35.6
563,"Harbison Canyon CDP, California",5.4,8,9.7,9.2,8.5,10.2,7.3,8
564,"Hardwick CDP, California",75.3,70.5,50.9,44.7,38,46.9,37.7,50.8
565,"Hartland CDP, California",-,-,-,-,-,-,-,-
566,"Hartley CDP, California",4.2,4.6,4.7,4.7,1.8,1.8,1.7,2.4
567,"Hasley Canyon CDP, California",3,4.7,10.4,16.3,17.7,12.1,14.3,14.8
568,"Hat Creek CDP, California",13.4,14.1,16.4,31.3,23.4,21.9,25.6,25.4
569,"Hawaiian Gardens city, California",15.8,21.8,23.2,24.4,28.8,30.7,29.6,26.2
570,"Hawthorne city, California",16.1,17.2,18.9,19.2,19.8,20.1,19.2,17
571,"Hayfork CDP, California",13.8,20.8,23.8,29,26.9,24.6,21.9,20.8
572,"Hayward city, California",12.5,12.8,13.5,14.4,14.5,13.4,12.5,10.5
573,"Healdsburg city, California",9.3,9.3,11.4,14.5,11.5,7.4,7.7,5.7
574,"Heber CDP, California",19,16.5,15.3,16,19.2,13.3,13.9,13.4
575,"Hemet city, California",18,19.4,21.2,23.3,24,26,24.4,23.2
576,"Herald CDP, California",4.8,16.3,14.8,14.5,14.5,15.4,9.8,7.9
577,"Hercules city, California",5.8,5.4,6.2,6,6.1,5.1,5.1,5.5
578,"Herlong CDP, California",0,5.7,8,9.3,8.5,11.7,5.9,5.2
579,"Hermosa Beach city, California",5.1,3.6,3.5,3.4,4.3,4,4.6,4.7
580,"Hesperia city, California",19.2,19.9,23.1,25.3,24.6,24.8,24.8,22.5
581,"Hickman CDP, California",6.2,6.1,12.2,13.9,12.1,13.3,13.5,13.8
582,"Hidden Hills city, California",2.4,3.6,5.3,5.2,5,4.9,4.9,3.1
583,"Hidden Meadows CDP, California",5.1,9.2,7,7.4,11.9,9.2,5,5.5
584,"Hidden Valley Lake CDP, California",15,13.1,10.6,11.8,12.4,11,9.8,11.3
585,"Highgrove CDP, California",24.3,23.7,19.3,25.4,30.9,31.9,27.3,31.4
586,"Highland city, California",17.3,17.6,20.6,21.2,20.3,20.7,20.7,20.1
587,"Highlands-Baywood Park CDP, California",1.4,4.4,3.9,5.2,5.1,4.7,3.9,2.9
588,"Hillsborough town, California",2.8,2.7,2.3,3.1,3,2.4,2.8,3.3
589,"Hilmar-Irwin CDP, California",11.6,7.8,7.3,8.8,5.2,2.6,3.4,4.1
590,"Hiouchi CDP, California",3.4,3.2,6.4,9.3,3.9,5.5,9.3,6.6
591,"Hollister city, California",12.5,13.2,14.3,13.3,12.8,11.3,11.9,11.1
592,"Holtville city, California",23.4,22.6,25,25.9,34.1,37.3,32.5,29.3
593,"Home Garden CDP, California",49.6,34.6,31.1,30.1,31.3,32.2,33.8,36
594,"Home Gardens CDP, California",18,17.9,21.2,24.4,28.8,25.9,25,20.7
595,"Homeland CDP, California",17.3,18.2,18,17.1,21.7,26.6,25.4,23.5
596,"Homestead Valley CDP, California",24.3,20.1,18.7,27.1,32.1,35.2,29,33.3
597,"Homewood Canyon CDP, California",40.4,77.2,78.8,100,100,100,36.4,0
598,"Honcut CDP, California",39.2,34.4,51.2,3.9,15.2,42.8,43.2,36.7
599,"Hood CDP, California",15,12.1,15.2,3,2.9,3.4,3,0
600,"Hopland CDP, California",3.1,7.3,11.2,7.8,12.9,20.6,22.6,19.5
601,"Hornbrook CDP, California",10.1,21.9,35.5,29.9,35.3,34.9,45.2,31
602,"Hornitos CDP, California",-,0,0,0,0,0,-,-
603,"Hughson city, California",13.4,15.6,20.6,18.6,21.6,24.3,18.4,16.7
604,"Humboldt Hill CDP, California",28.8,24.5,20.4,13.6,13.2,7.4,7.6,8.8
605,"Huntington Beach city, California",7,7.4,8.3,8.9,9.2,9.4,9,8.9
606,"Huntington Park city, California",24,25.5,27.7,28.7,30.3,29.6,28.9,28
607,"Huron city, California",54.5,47.4,46.2,39.8,35.6,35.8,39,43.5
608,"Hyampom CDP, California",22,26.8,18.7,8,6.7,0,0,0
609,"Hydesville CDP, California",5.9,6.1,8.6,7.7,9.7,12.6,11,10.1
610,"Idlewild CDP, California",30,31,0,0,0,0,0,-
611,"Idyllwild-Pine Cove CDP, California",10.9,13.1,20.4,16.7,15.9,19.5,18.2,16.4
612,"Imperial city, California",12.6,16.2,13.7,11.8,11.5,8.7,5.3,5.8
613,"Imperial Beach city, California",19.5,21.2,19.2,18.6,19.7,18.9,19.5,19
614,"Independence CDP, California",9.3,8.9,9.3,10.1,11.6,14.5,14.1,14.8
615,"Indian Falls CDP, California",0,100,87.8,82.9,60.9,38.3,41,47.8
616,"Indianola CDP, California",13.4,10.5,19.3,19.3,19.7,29,28.4,21.7
617,"Indian Wells city, California",3.8,4.4,5.3,5.2,5.6,4.6,4.9,4.4
618,"Indio city, California",19.7,21,21.8,21.9,22.3,19.5,18.9,18.1
619,"Indio Hills CDP, California",17.3,27,26.2,30.6,17.3,15.8,15,14.9
620,"Industry city, California",37.3,24.9,3.4,1,1.6,2.4,3.6,6.9
621,"Inglewood city, California",19.8,21,20.1,22.4,22.5,22.4,20.7,20.1
622,"Interlaken CDP, California",16.8,16.2,15.6,12.2,12.2,12.4,15.8,21.6
623,"Inverness CDP, California",12.8,17.6,15.1,12.5,17.4,10.8,4.3,4.9
624,"Inyokern CDP, California",15,13.6,13.9,16.8,2.3,1.9,13.8,16.7
625,"Ione city, California",6.6,8.2,11,13.8,13.9,13.7,14.1,13.4
626,"Iron Horse CDP, California",0,0,0,0,0,0,0,0
627,"Irvine city, California",10.2,10.6,11.4,12.2,12.4,12.3,12.7,13.2
628,"Irwindale city, California",11.4,14.6,11.6,10.4,12.1,12.5,6.1,8.3
629,"Isla Vista CDP, California",52.1,56.2,59.8,62.8,67.6,68,67.3,65.5
630,"Isleton city, California",10,13.8,18.8,24.8,23.6,31.5,33.2,20.5
631,"Ivanhoe CDP, California",19.8,13.1,21.3,34,36.6,36.3,38.6,34.3
632,"Jackson city, California",12.1,16.5,15,16.6,13.7,14.3,10.4,10.7
633,"Jacumba CDP, California",0,0,0,0,0,0,0,0
634,"Jamestown CDP, California",21.4,33.4,31.9,32.2,27.6,19.6,16,14.2
635,"Jamul CDP, California",4.2,5.6,8,5.7,4.4,5.4,5.1,3.8
636,"Janesville CDP, California",10.9,7.8,5.8,8.9,5.8,6,7.6,10.8
637,"Jenner CDP, California",0,12.4,14.3,16.9,21.1,23.1,8.3,14.1
638,"Johannesburg CDP, California",8.8,12.8,13.7,0,0,0,7.9,8.1
639,"Johnstonville CDP, California",11.2,9,19.6,22.5,18.8,18.9,18.1,12.2
640,"Johnsville CDP, California",0,0,0,0,0,0,-,-
641,"Joshua Tree CDP, California",22.2,16.2,21.8,20.7,21,24,29.1,21.9
642,"Julian CDP, California",3.1,5,12.1,15.2,14.3,14,15.6,6
643,"Junction City CDP, California",24.2,15.9,13.1,11.4,12.6,14.4,10,11.9
644,"June Lake CDP, California",5.4,6.2,0,0,0,0,3.8,5
645,"Keddie CDP, California",0,0,0,0,0,0,0,0
646,"Keeler CDP, California",0,0,3.2,3.9,13.8,13.4,34.5,60
647,"Keene CDP, California",0,0,0,4.4,35.1,32.5,35,37.1
648,"Kelly Ridge CDP, California",13.1,6.9,1.6,5.2,8.7,11.4,12.4,14.4
