County,pol1,pol2
Orange,Aliso Viejo,1
Orange,Anaheim,1
Orange,Brea,0
Orange,Buena Park,0
Orange,Costa Mesa,1
Orange,Cypress,0
Orange,Dana Point,1
Orange,Fountain Valley,0
Orange,Fullerton,0
Orange,Garden Grove,1
Orange,Huntington Beach,1
Orange,Irvine,0
Orange,Laguna Beach,0
Orange,Laguna Hills,0
Orange,Laguna Niguel,1
Orange,Laguna Woods,0
Orange,La Habra,0
Orange,Lake Forest,1
Orange,La Palma,0
Orange,Los Alamitos,1
Orange,Mission Viejo,1
Orange,Newport Beach,1
Orange,Orange,1
Orange,Placentia,0
Orange,Rancho Santa Margarita,0
Orange,San Clemente,0
Orange,San Juan Capistrano,1
Orange,Santa Ana,1
Orange,Seal Beach,0
Orange,Stanton,0
Orange,Tustin,1
Orange,Villa Park,1
Orange,Westminster,0
Orange,Yorba Linda,0
Placer,Auburn,0
Placer,Colfax,0
Placer,Lincoln,1
Placer,Loomis,0
Placer,Rocklin,0
Placer,Roseville,0
Plumas,Portola,0
Riverside,Banning,0
Riverside,Beaumont,1
Riverside,Blythe,0
Riverside,Calimesa,0
Riverside,Canyon Lake,0
Riverside,Cathedral City,1
Riverside,Coachella,1
Riverside,Corona,1
Riverside,Desert Hot Springs,0
Riverside,Eastvale,0
Riverside,Hemet,1
Riverside,Indian Wells,0
Riverside,Indio,0
Riverside,Jurupa Valley,0
Riverside,Lake Elsinore,1
Riverside,La Quinta,0
Riverside,Menifee,0
Riverside,Moreno Valley,0
Riverside,Murrieta,1
Riverside,Norco,0
Riverside,Palm Desert,0
Riverside,Palm Springs,1
Riverside,Perris,0
Riverside,Rancho Mirage,0
Riverside,Riverside,0
Riverside,San Jacinto,1
Riverside,Temecula,1
Riverside,Wildomar,1
Sacramento,Citrus Heights,0
Sacramento,Elk Grove,0
Sacramento,Folsom,0
Sacramento,Galt,0
Sacramento,Isleton,0
Sacramento,Rancho Cordova,0
Sacramento,Sacramento,1
San Benito,Hollister,0
San Benito,San Juan Bautista,0
San Bernardino,Adelanto,0
San Bernardino,Apple Valley,1
San Bernardino,Barstow,0
San Bernardino,Big Bear Lake,0
San Bernardino,Chino,0
San Bernardino,Chino Hills,0
San Bernardino,Colton,0
San Bernardino,Fontana,0
San Bernardino,Grand Terrace,0
San Bernardino,Hesperia,0
San Bernardino,Highland,1
San Bernardino,Loma Linda,0
San Bernardino,Montclair,0
San Bernardino,Needles,0
San Bernardino,Ontario,0
San Bernardino,Rancho Cucamonga,0
San Bernardino,Redlands,0
San Bernardino,Rialto,0
San Bernardino,San Bernardino,0
San Bernardino,Twentynine Palms,1
San Bernardino,Upland,0
San Bernardino,Victorville,0
San Bernardino,Yucaipa,1
San Bernardino,Yucca Valley,0
San Diego,Carlsbad,1
San Diego,Chula Vista,1
San Diego,Coronado,0
San Diego,Del Mar,0
San Diego,El Cajon,0
San Diego,Encinitas,0
San Diego,Escondido,1
San Diego,Imperial Beach,0
San Diego,La Mesa,0
San Diego,Lemon Grove,0
San Diego,National City,1
San Diego,Oceanside,0
San Diego,Poway,0
San Diego,San Diego,0
San Diego,San Marcos,0
San Diego,Santee,0
San Diego,Solana Beach,1
San Diego,Vista,1
San Francisco,San Francisco,1
San Joaquin,Escalon,1
San Joaquin,Lathrop,0
San Joaquin,Lodi,0
San Joaquin,Manteca,0
San Joaquin,Ripon,1
San Joaquin,Stockton,1
San Joaquin,Tracy,0
San Luis Obispo,Arroyo Grande,0
San Luis Obispo,Atascadero,0
San Luis Obispo,Paso Robles,0
San Luis Obispo,Grover Beach,0
San Luis Obispo,Morro Bay,0
San Luis Obispo,Pismo Beach,0
San Luis Obispo,San Luis Obispo,1
San Mateo,Atherton,0
San Mateo,Belmont,1
San Mateo,Brisbane,0
San Mateo,Burlingame,0
San Mateo,Colma,0
San Mateo,Daly City,1
San Mateo,East Palo Alto,1
San Mateo,Foster City,0
San Mateo,Half Moon Bay,0
San Mateo,Hillsborough,0
San Mateo,Menlo Park,1
San Mateo,Millbrae,0
San Mateo,Pacifica,1
San Mateo,Portola Valley,0
San Mateo,Redwood City,1
San Mateo,San Bruno,0
San Mateo,San Carlos,1
San Mateo,San Mateo,1
San Mateo,South San Francisco,1
San Mateo,Woodside,0
Santa Barbara,Buellton,0
Santa Barbara,Carpinteria,0
Santa Barbara,Goleta,0
Santa Barbara,Guadalupe,0
Santa Barbara,Lompoc,0
Santa Barbara,Santa Barbara,0
Santa Barbara,Santa Maria,0
Santa Barbara,Solvang,0
